task_type,total_frames,mean_px,std_px,mean_pct,mean_deg
image,211196,123.24741420834152,30.664847683706558,5.594762043637868,3.127804268800809
video,894173,136.80209178521903,30.891033249914702,6.210070657680425,3.4715888501315986
wikipedia,391490,154.21099187453382,34.81445099047818,7.000340003831059,3.9129994813773177
